Airline Name,Flight Type,Review Category,Review Text,Sentiment,Rating,Date of Travel,Source,Destination,Sentiment Score,Fake Review
GoAir,Domestic,Food,"I had a very bad experience with this airline. My baggage was lost, and the staff didn't provide any assistance. The food was of poor quality, and the service was extremely slow. The cabin crew seemed indifferent to passenger needs. Would not recommend flying with them.",Negative,2,10/27/2024,Mumbai,Paris,0.33,0
GoAir,Domestic,Seat Comfort,"The flight experience was amazing! The crew was extremely courteous and ensured all passengers were comfortable. The seats were spacious, and legroom was sufficient for a relaxing journey. Food was delicious, and the entertainment options kept me engaged throughout the flight. Highly recommend this airline!",Positive,5,1/1/2025,Pune,Dubai,0.94,0
Vistara,International,Overall Experience,"The worst experience ever! My flight was delayed for over 4 hours, and there was no proper communication from the airline staff. The seats were extremely uncomfortable, and there was barely any legroom. The food served was cold and tasteless, and the cabin crew was rude and unhelpful. I will never fly with this airline again!",Negative,3,12/1/2024,Pune,London,0.07,0
Air India,International,Punctuality,"The flight experience was amazing! The crew was extremely courteous and ensured all passengers were comfortable. The seats were spacious, and legroom was sufficient for a relaxing journey. Food was delicious, and the entertainment options kept me engaged throughout the flight. Highly recommend this airline!",Positive,4,11/1/2024,Delhi,Toronto,0.8,0
Vistara,International,Overall Experience,"I had a wonderful time flying with this airline. The check-in process was smooth, and the staff was very professional. My seat was comfortable, and I could stretch my legs easily. The food was freshly prepared, and the service was excellent. Overall, a fantastic experience!",Positive,4,9/28/2024,Hyderabad,London,0.71,0
IndiGo,Domestic,Cabin Crew Service,"One of the best flights I've taken! The cabin crew was friendly and always ready to help. The plane was clean, and the seats were well-maintained. The flight took off and landed on time, making my journey hassle-free. Will definitely fly again with them!",Positive,4,9/19/2024,Bangalore,Sydney,0.73,0
AirAsia India,Domestic,Seat Comfort,"During the flight, a medical emergency occurred. A passenger fainted, and the crew had to provide assistance. While they handled the situation well, it delayed our journey, and we had to make an emergency landing. The experience was quite stressful.",Emergency,1,12/1/2024,Chennai,Toronto,0.05,0
Vistara,Domestic,Food,"The flight experience was amazing! The crew was extremely courteous and ensured all passengers were comfortable. The seats were spacious, and legroom was sufficient for a relaxing journey. Food was delicious, and the entertainment options kept me engaged throughout the flight. Highly recommend this airline!",Positive,5,2/16/2025,Chennai,Singapore,0.9,0
Vistara,Domestic,Food,"I had a wonderful time flying with this airline. The check-in process was smooth, and the staff was very professional. My seat was comfortable, and I could stretch my legs easily. The food was freshly prepared, and the service was excellent. Overall, a fantastic experience!",Positive,5,12/10/2024,Chennai,London,0.93,0
IndiGo,Domestic,Punctuality,"The worst experience ever! My flight was delayed for over 4 hours, and there was no proper communication from the airline staff. The seats were extremely uncomfortable, and there was barely any legroom. The food served was cold and tasteless, and the cabin crew was rude and unhelpful. I will never fly with this airline again!",Negative,1,3/29/2024,Delhi,Bangkok,0.05,0
SpiceJet,International,Seat Comfort,"One of the best flights I've taken! The cabin crew was friendly and always ready to help. The plane was clean, and the seats were well-maintained. The flight took off and landed on time, making my journey hassle-free. Will definitely fly again with them!",Positive,4,8/23/2024,Kolkata,Toronto,0.69,0
Air India,International,Cabin Crew Service,"One of the best flights I've taken! The cabin crew was friendly and always ready to help. The plane was clean, and the seats were well-maintained. The flight took off and landed on time, making my journey hassle-free. Will definitely fly again with them!",Positive,5,6/24/2024,Mumbai,Paris,0.67,0
IndiGo,International,Legroom,"One of the best flights I've taken! The cabin crew was friendly and always ready to help. The plane was clean, and the seats were well-maintained. The flight took off and landed on time, making my journey hassle-free. Will definitely fly again with them!",Positive,4,10/29/2024,Ahmedabad,Singapore,1,0
AirAsia India,Domestic,Cabin Crew Service,"Absolutely terrible! The check-in process was a nightmare with long queues and inefficient staff. The flight was delayed, and there was no proper apology from the airline. The seats were cramped, and the in-flight entertainment was outdated. Highly disappointed.",Negative,1,5/2/2024,Mumbai,London,0.32,0
AirAsia India,International,Legroom,"I had a wonderful time flying with this airline. The check-in process was smooth, and the staff was very professional. My seat was comfortable, and I could stretch my legs easily. The food was freshly prepared, and the service was excellent. Overall, a fantastic experience!",Positive,4,11/27/2024,Bangalore,Bangkok,0.6,0
GoAir,Domestic,Seat Comfort,"The flight experience was amazing! The crew was extremely courteous and ensured all passengers were comfortable. The seats were spacious, and legroom was sufficient for a relaxing journey. Food was delicious, and the entertainment options kept me engaged throughout the flight. Highly recommend this airline!",Positive,5,4/25/2024,Kolkata,Toronto,0.73,0
SpiceJet,International,Legroom,"The flight experience was amazing! The crew was extremely courteous and ensured all passengers were comfortable. The seats were spacious, and legroom was sufficient for a relaxing journey. Food was delicious, and the entertainment options kept me engaged throughout the flight. Highly recommend this airline!",Positive,4,1/17/2025,Bangalore,Sydney,0.98,0
GoAir,Domestic,Cabin Crew Service,"I had a wonderful time flying with this airline. The check-in process was smooth, and the staff was very professional. My seat was comfortable, and I could stretch my legs easily. The food was freshly prepared, and the service was excellent. Overall, a fantastic experience!",Positive,4,4/22/2024,Chennai,Sydney,0.62,0
AirAsia India,International,Food,"Absolutely terrible! The check-in process was a nightmare with long queues and inefficient staff. The flight was delayed, and there was no proper apology from the airline. The seats were cramped, and the in-flight entertainment was outdated. Highly disappointed.",Negative,2,9/13/2024,Pune,London,0.19,0
AirAsia India,International,Food,"Absolutely terrible! The check-in process was a nightmare with long queues and inefficient staff. The flight was delayed, and there was no proper apology from the airline. The seats were cramped, and the in-flight entertainment was outdated. Highly disappointed.",Negative,3,6/26/2024,Bangalore,Paris,0.31,0
GoAir,International,Seat Comfort,"The worst experience ever! My flight was delayed for over 4 hours, and there was no proper communication from the airline staff. The seats were extremely uncomfortable, and there was barely any legroom. The food served was cold and tasteless, and the cabin crew was rude and unhelpful. I will never fly with this airline again!",Negative,3,10/31/2024,Bangalore,Singapore,0.3,1
AirAsia India,International,Food,"I had a wonderful time flying with this airline. The check-in process was smooth, and the staff was very professional. My seat was comfortable, and I could stretch my legs easily. The food was freshly prepared, and the service was excellent. Overall, a fantastic experience!",Positive,5,6/20/2024,Delhi,Bangkok,0.86,0
GoAir,Domestic,Food,"I had a very bad experience with this airline. My baggage was lost, and the staff didn't provide any assistance. The food was of poor quality, and the service was extremely slow. The cabin crew seemed indifferent to passenger needs. Would not recommend flying with them.",Negative,1,8/2/2024,Bangalore,Bangkok,0.31,0
SpiceJet,International,Overall Experience,"One of the best flights I've taken! The cabin crew was friendly and always ready to help. The plane was clean, and the seats were well-maintained. The flight took off and landed on time, making my journey hassle-free. Will definitely fly again with them!",Positive,4,10/5/2024,Bangalore,Singapore,0.88,0
Vistara,International,Seat Comfort,"I had a very bad experience with this airline. My baggage was lost, and the staff didn't provide any assistance. The food was of poor quality, and the service was extremely slow. The cabin crew seemed indifferent to passenger needs. Would not recommend flying with them.",Negative,2,1/22/2025,Kolkata,Dubai,0.3,0
Vistara,Domestic,Seat Comfort,"The flight experience was amazing! The crew was extremely courteous and ensured all passengers were comfortable. The seats were spacious, and legroom was sufficient for a relaxing journey. Food was delicious, and the entertainment options kept me engaged throughout the flight. Highly recommend this airline!",Positive,4,8/10/2024,Chennai,Paris,0.74,0
GoAir,International,Food,"The worst experience ever! My flight was delayed for over 4 hours, and there was no proper communication from the airline staff. The seats were extremely uncomfortable, and there was barely any legroom. The food served was cold and tasteless, and the cabin crew was rude and unhelpful. I will never fly with this airline again!",Negative,2,1/18/2025,Hyderabad,Toronto,0.31,0
Vistara,International,Cabin Crew Service,"The flight experience was amazing! The crew was extremely courteous and ensured all passengers were comfortable. The seats were spacious, and legroom was sufficient for a relaxing journey. Food was delicious, and the entertainment options kept me engaged throughout the flight. Highly recommend this airline!",Positive,4,6/21/2024,Hyderabad,Dubai,0.71,0
AirAsia India,Domestic,Cabin Crew Service,"The flight experience was amazing! The crew was extremely courteous and ensured all passengers were comfortable. The seats were spacious, and legroom was sufficient for a relaxing journey. Food was delicious, and the entertainment options kept me engaged throughout the flight. Highly recommend this airline!",Positive,4,6/26/2024,Mumbai,New York,1,0
SpiceJet,Domestic,Legroom,"The flight experience was amazing! The crew was extremely courteous and ensured all passengers were comfortable. The seats were spacious, and legroom was sufficient for a relaxing journey. Food was delicious, and the entertainment options kept me engaged throughout the flight. Highly recommend this airline!",Positive,5,10/6/2024,Bangalore,New York,0.9,0
Air India,International,Punctuality,"I had a wonderful time flying with this airline. The check-in process was smooth, and the staff was very professional. My seat was comfortable, and I could stretch my legs easily. The food was freshly prepared, and the service was excellent. Overall, a fantastic experience!",Positive,4,10/8/2024,Kolkata,Dubai,0.66,0
SpiceJet,Domestic,Legroom,"Absolutely terrible! The check-in process was a nightmare with long queues and inefficient staff. The flight was delayed, and there was no proper apology from the airline. The seats were cramped, and the in-flight entertainment was outdated. Highly disappointed.",Negative,3,9/5/2024,Delhi,Bangkok,0.05,0
IndiGo,Domestic,Seat Comfort,"I had a wonderful time flying with this airline. The check-in process was smooth, and the staff was very professional. My seat was comfortable, and I could stretch my legs easily. The food was freshly prepared, and the service was excellent. Overall, a fantastic experience!",Positive,4,3/29/2024,Kolkata,Paris,0.69,0
GoAir,International,Punctuality,"One of the best flights I've taken! The cabin crew was friendly and always ready to help. The plane was clean, and the seats were well-maintained. The flight took off and landed on time, making my journey hassle-free. Will definitely fly again with them!",Positive,5,9/13/2024,Mumbai,London,0.89,0
AirAsia India,International,Legroom,"One of the best flights I've taken! The cabin crew was friendly and always ready to help. The plane was clean, and the seats were well-maintained. The flight took off and landed on time, making my journey hassle-free. Will definitely fly again with them!",Positive,4,8/13/2024,Kolkata,Paris,0.67,1
Air India,International,Overall Experience,"Absolutely terrible! The check-in process was a nightmare with long queues and inefficient staff. The flight was delayed, and there was no proper apology from the airline. The seats were cramped, and the in-flight entertainment was outdated. Highly disappointed.",Negative,3,4/28/2024,Chennai,Sydney,0.31,0
SpiceJet,Domestic,Cabin Crew Service,"Absolutely terrible! The check-in process was a nightmare with long queues and inefficient staff. The flight was delayed, and there was no proper apology from the airline. The seats were cramped, and the in-flight entertainment was outdated. Highly disappointed.",Negative,3,3/31/2024,Mumbai,Dubai,0.24,0
GoAir,International,Punctuality,"I had a wonderful time flying with this airline. The check-in process was smooth, and the staff was very professional. My seat was comfortable, and I could stretch my legs easily. The food was freshly prepared, and the service was excellent. Overall, a fantastic experience!",Positive,4,2/10/2025,Bangalore,Toronto,0.82,0
Vistara,International,Food,"Absolutely terrible! The check-in process was a nightmare with long queues and inefficient staff. The flight was delayed, and there was no proper apology from the airline. The seats were cramped, and the in-flight entertainment was outdated. Highly disappointed.",Negative,1,11/14/2024,Chennai,Toronto,0.01,0
SpiceJet,Domestic,Legroom,"I had a very bad experience with this airline. My baggage was lost, and the staff didn't provide any assistance. The food was of poor quality, and the service was extremely slow. The cabin crew seemed indifferent to passenger needs. Would not recommend flying with them.",Negative,2,6/26/2024,Delhi,Singapore,0.24,0
Vistara,International,Food,"I had a very bad experience with this airline. My baggage was lost, and the staff didn't provide any assistance. The food was of poor quality, and the service was extremely slow. The cabin crew seemed indifferent to passenger needs. Would not recommend flying with them.",Negative,2,5/3/2024,Kolkata,London,0,0
SpiceJet,Domestic,Food,"The flight experience was amazing! The crew was extremely courteous and ensured all passengers were comfortable. The seats were spacious, and legroom was sufficient for a relaxing journey. Food was delicious, and the entertainment options kept me engaged throughout the flight. Highly recommend this airline!",Positive,4,5/21/2024,Chennai,Toronto,0.86,0
AirAsia India,International,Punctuality,"One of the best flights I've taken! The cabin crew was friendly and always ready to help. The plane was clean, and the seats were well-maintained. The flight took off and landed on time, making my journey hassle-free. Will definitely fly again with them!",Positive,5,9/21/2024,Chennai,Bangkok,0.92,0
AirAsia India,Domestic,Cabin Crew Service,"I had a wonderful time flying with this airline. The check-in process was smooth, and the staff was very professional. My seat was comfortable, and I could stretch my legs easily. The food was freshly prepared, and the service was excellent. Overall, a fantastic experience!",Positive,5,8/29/2024,Hyderabad,Singapore,0.88,0
SpiceJet,Domestic,Seat Comfort,"I had a very bad experience with this airline. My baggage was lost, and the staff didn't provide any assistance. The food was of poor quality, and the service was extremely slow. The cabin crew seemed indifferent to passenger needs. Would not recommend flying with them.",Negative,3,9/22/2024,Kolkata,Singapore,0.18,0
AirAsia India,International,Cabin Crew Service,"One of the best flights I've taken! The cabin crew was friendly and always ready to help. The plane was clean, and the seats were well-maintained. The flight took off and landed on time, making my journey hassle-free. Will definitely fly again with them!",Positive,4,12/21/2024,Kolkata,Bangkok,0.86,0
GoAir,International,Punctuality,"Absolutely terrible! The check-in process was a nightmare with long queues and inefficient staff. The flight was delayed, and there was no proper apology from the airline. The seats were cramped, and the in-flight entertainment was outdated. Highly disappointed.",Negative,3,10/3/2024,Kolkata,Paris,0.09,1
Vistara,International,Seat Comfort,"One of the best flights I've taken! The cabin crew was friendly and always ready to help. The plane was clean, and the seats were well-maintained. The flight took off and landed on time, making my journey hassle-free. Will definitely fly again with them!",Positive,4,10/3/2024,Ahmedabad,New York,0.96,0
AirAsia India,International,Legroom,"One of the best flights I've taken! The cabin crew was friendly and always ready to help. The plane was clean, and the seats were well-maintained. The flight took off and landed on time, making my journey hassle-free. Will definitely fly again with them!",Positive,4,6/10/2024,Bangalore,Toronto,0.92,0
SpiceJet,International,Overall Experience,"I had a wonderful time flying with this airline. The check-in process was smooth, and the staff was very professional. My seat was comfortable, and I could stretch my legs easily. The food was freshly prepared, and the service was excellent. Overall, a fantastic experience!",Positive,5,8/5/2024,Mumbai,London,0.85,0
SpiceJet,Domestic,Cabin Crew Service,"I had a wonderful time flying with this airline. The check-in process was smooth, and the staff was very professional. My seat was comfortable, and I could stretch my legs easily. The food was freshly prepared, and the service was excellent. Overall, a fantastic experience!",Positive,4,5/6/2024,Bangalore,Sydney,0.81,0
GoAir,International,Overall Experience,"I had a wonderful time flying with this airline. The check-in process was smooth, and the staff was very professional. My seat was comfortable, and I could stretch my legs easily. The food was freshly prepared, and the service was excellent. Overall, a fantastic experience!",Positive,5,9/11/2024,Ahmedabad,Toronto,0.92,0
Air India,Domestic,Seat Comfort,"I had a wonderful time flying with this airline. The check-in process was smooth, and the staff was very professional. My seat was comfortable, and I could stretch my legs easily. The food was freshly prepared, and the service was excellent. Overall, a fantastic experience!",Positive,4,5/9/2024,Ahmedabad,New York,0.74,0
Air India,Domestic,Overall Experience,"The flight experience was amazing! The crew was extremely courteous and ensured all passengers were comfortable. The seats were spacious, and legroom was sufficient for a relaxing journey. Food was delicious, and the entertainment options kept me engaged throughout the flight. Highly recommend this airline!",Positive,5,10/20/2024,Mumbai,Sydney,0.83,0
AirAsia India,International,Legroom,"I had a wonderful time flying with this airline. The check-in process was smooth, and the staff was very professional. My seat was comfortable, and I could stretch my legs easily. The food was freshly prepared, and the service was excellent. Overall, a fantastic experience!",Positive,4,10/23/2024,Mumbai,Sydney,0.78,0
IndiGo,International,Legroom,"Absolutely terrible! The check-in process was a nightmare with long queues and inefficient staff. The flight was delayed, and there was no proper apology from the airline. The seats were cramped, and the in-flight entertainment was outdated. Highly disappointed.",Negative,2,9/13/2024,Ahmedabad,New York,0.33,0
Air India,Domestic,Cabin Crew Service,"One of the best flights I've taken! The cabin crew was friendly and always ready to help. The plane was clean, and the seats were well-maintained. The flight took off and landed on time, making my journey hassle-free. Will definitely fly again with them!",Positive,4,4/3/2024,Ahmedabad,Sydney,0.98,0
Vistara,Domestic,Punctuality,"The flight experience was amazing! The crew was extremely courteous and ensured all passengers were comfortable. The seats were spacious, and legroom was sufficient for a relaxing journey. Food was delicious, and the entertainment options kept me engaged throughout the flight. Highly recommend this airline!",Positive,5,8/23/2024,Ahmedabad,Singapore,0.83,0
AirAsia India,International,Food,"I had a wonderful time flying with this airline. The check-in process was smooth, and the staff was very professional. My seat was comfortable, and I could stretch my legs easily. The food was freshly prepared, and the service was excellent. Overall, a fantastic experience!",Positive,5,7/31/2024,Hyderabad,New York,0.89,0
Air India,International,Food,"One of the best flights I've taken! The cabin crew was friendly and always ready to help. The plane was clean, and the seats were well-maintained. The flight took off and landed on time, making my journey hassle-free. Will definitely fly again with them!",Positive,5,11/8/2024,Hyderabad,Sydney,0.62,1
AirAsia India,Domestic,Seat Comfort,"The flight experience was amazing! The crew was extremely courteous and ensured all passengers were comfortable. The seats were spacious, and legroom was sufficient for a relaxing journey. Food was delicious, and the entertainment options kept me engaged throughout the flight. Highly recommend this airline!",Positive,4,12/19/2024,Mumbai,Singapore,0.64,0
SpiceJet,Domestic,Seat Comfort,"The flight experience was amazing! The crew was extremely courteous and ensured all passengers were comfortable. The seats were spacious, and legroom was sufficient for a relaxing journey. Food was delicious, and the entertainment options kept me engaged throughout the flight. Highly recommend this airline!",Positive,5,1/3/2025,Pune,London,0.77,0
AirAsia India,International,Seat Comfort,"The flight experience was amazing! The crew was extremely courteous and ensured all passengers were comfortable. The seats were spacious, and legroom was sufficient for a relaxing journey. Food was delicious, and the entertainment options kept me engaged throughout the flight. Highly recommend this airline!",Positive,5,12/1/2024,Kolkata,Singapore,0.76,0
GoAir,International,Cabin Crew Service,"Absolutely terrible! The check-in process was a nightmare with long queues and inefficient staff. The flight was delayed, and there was no proper apology from the airline. The seats were cramped, and the in-flight entertainment was outdated. Highly disappointed.",Negative,3,8/31/2024,Chennai,Sydney,0.26,0
